Ontology ID	Template	Columns Found	Status	Report Generated
FOODON:00004239	B2B2B	menu_2	Mismatch: menu_2 [FOODON:00001040] ≠ Meaning [FOODON:00004239]	2026-03-17 13:28:06
FOODON:03311826	B2B2B	menu_3	Mismatch: menu_3 [FOODON:02020311] ≠ Meaning [FOODON:03311826]	2026-03-17 13:28:06
FOODON:03309969	B2B2B	menu_2	Mismatch: menu_2 [FOODON:02021718] ≠ Meaning [FOODON:03309969]	2026-03-17 13:28:06
FOODON:02021718	B2B2B	menu_3	Mismatch: menu_3 [FOODON:03000413] ≠ Meaning [FOODON:02021718]	2026-03-17 13:28:06
FOODON:00002714	B2B2B	menu_3	Mismatch: menu_3 [FOODON:02020577] ≠ Meaning [FOODON:00002714]	2026-03-17 13:28:06
FOODON:02020577	B2B2B	menu_3	Mismatch: menu_3 [FOODON:03000411] ≠ Meaning [FOODON:02020577]	2026-03-17 13:28:06
NCBITaxon:8019	B2B2B	menu_3	Mismatch: menu_3 [NCBITaxon:74940] ≠ Meaning [NCBITaxon:8019]	2026-03-17 13:28:06
NCBITaxon:74940	B2B2B	menu_3	Mismatch: menu_3 [NCBITaxon:8019] ≠ Meaning [NCBITaxon:74940]	2026-03-17 13:28:06
NCBITaxon:2726434	B2B2B	menu_2	Mismatch: menu_2 [NCBITaxon:70864] ≠ Meaning [NCBITaxon:2726434]	2026-03-17 13:28:06
NCBITaxon:70864	B2B2B	menu_2	Mismatch: menu_2 [NCBITaxon:24] ≠ Meaning [NCBITaxon:70864]	2026-03-17 13:28:06
NCBITaxon:24	B2B2B	menu_2	Mismatch: menu_2 [NCBITaxon:2726434] ≠ Meaning [NCBITaxon:24]	2026-03-17 13:28:06
CIT:C149941	HPAI	menu_1	Mismatch: menu_1 [NCIT:C149941] ≠ Meaning [CIT:C149941]	2026-03-17 13:28:06
CIT:C110959	HPAI	menu_1	Mismatch: menu_1 [NCIT:C110959] ≠ Meaning [CIT:C110959]	2026-03-17 13:28:06
CIT:C115935	HPAI	menu_1	Mismatch: menu_1 [NCIT:C115935] ≠ Meaning [CIT:C115935]	2026-03-17 13:28:06
CIT:C173768	HPAI	menu_1	Mismatch: menu_1 [NCIT:C173768] ≠ Meaning [CIT:C173768]	2026-03-17 13:28:06
CIT:C159659	HPAI	menu_1	Mismatch: menu_1 [NCIT:C159659] ≠ Meaning [CIT:C159659]	2026-03-17 13:28:06
CIT:C168498	HPAI	menu_1	Mismatch: menu_1 [NCIT:C168498] ≠ Meaning [CIT:C168498]	2026-03-17 13:28:06
GENEPIO:0100237	PHA4GE	menu_1	Mismatch: menu_1 [GENEPIO:0100037] ≠ Meaning [GENEPIO:0100237]	2026-03-17 13:28:06
GENEPIO:0100080	PHA4GE	menu_2	Mismatch: menu_2 [NCIT:C131759] ≠ Meaning [GENEPIO:0100080]	2026-03-17 13:28:06
NCIT:C131759	PHA4GE	menu_2	Mismatch: menu_2 [GENEPIO:0100080] ≠ Meaning [NCIT:C131759]	2026-03-17 13:28:06
GENEPIO:0100087	PHA4GE	menu_1	Mismatch: menu_1 [GENEPIO:0100074] ≠ Meaning [GENEPIO:0100087]	2026-03-17 13:28:06
NCBITaxon:9913	PHA4GE	menu_1	Mismatch: menu_1 [NCBITaxon:9606] ≠ Meaning [NCBITaxon:9913]	2026-03-17 13:28:06
NCBITaxon:9615	PHA4GE	menu_1	Mismatch: menu_1 [NCBITaxon:9913] ≠ Meaning [NCBITaxon:9615]	2026-03-17 13:28:06
NCBITaxon:9397	PHA4GE	menu_1	Mismatch: menu_1 [NCBITaxon:9615] ≠ Meaning [NCBITaxon:9397]	2026-03-17 13:28:06
NCBITaxon:8930	PHA4GE	menu_1	Mismatch: menu_1 [NCBITaxon:9397] ≠ Meaning [NCBITaxon:8930]	2026-03-17 13:28:06
NCBITaxon:9685	PHA4GE	menu_1	Mismatch: menu_1 [NCBITaxon:8930] ≠ Meaning [NCBITaxon:9685]	2026-03-17 13:28:06
NCBITaxon:9031	PHA4GE	menu_1	Mismatch: menu_1 [NCBITaxon:9685] ≠ Meaning [NCBITaxon:9031]	2026-03-17 13:28:06
NCBITaxon:9606	PHA4GE	menu_1	Mismatch: menu_1 [NCBITaxon:9031] ≠ Meaning [NCBITaxon:9606]	2026-03-17 13:28:06
NCBITaxon:9605	PHA4GE	menu_1	Mismatch: menu_1 [NCBITaxon:9606] ≠ Meaning [NCBITaxon:9605]	2026-03-17 13:28:06
